ID,Code,Date,ActualAffected,ActualDeath,One_day_prediction_of_affected,One_day_prediction_of_death,Two_day_prediction_of_affected,Two_day_prediction_of_death,Countryname
,CAN,4/18/2020,1542,45,2211,180,2208,210,Canada
,CAN,4/19/2020,1277,164,1815,93,2313,192,Canada
,CAN,4/20/2020,1196,126,1457,121,1833,86,Canada
,CAN,4/21/2020,1744,183,1276,118,1455,117,Canada
,CAN,4/22/2020,788,65,1728,173,1263,128,Canada
,CAN,4/20/2020,1744,183,1162,156,1790,174,Canada
,CAN,4/23/2020,460,70,581,61,1294,150,Canada
,CAN,4/24/2020,602,61,1782,105,968,101,Canada
,CAN,4/25/2020,1298,79,1069,96,1717,120,Canada
,CAN,4/26/2020,0,0,1322,104,1180,112,Canada
,CAN,4/27/2020,2760,158,975,129,1064,113,Canada
,CAN,4/28/2020,410,18,1900,133,966,119,Canada
,CAN,4/29/2020,447,13,1854,130,1779,101,Canada
,CAN,4/30/2020,371,29,996,63,1818,127,Canada
,CAN,5/1/2020,604,81,1430,138,1084,81,Canada
,CAN,5/2/2020,1583,147,957,109,1348,131,Canada
202043,CAN,5/3/2020,2578,111,1737,189,1110,119,Canada
202043,CAN,5/4/2020,1453,208,2181,139,1761,195,Canada
202043,CAN,5/5/2020,1258,187,2058,171,2180,137,Canada
202043,CAN,5/6/2020,1479,176,1548,172,2130,169,Canada
202043,CAN,5/7/2020,1507,175,1433,183,1468,181,Canada
202043,CAN,5/8/2020,1473,156,1390,177,1397,183,Canada
202043,CAN,5/9/2020,1244,126,1492,162,1478,176,Canada
202043,CAN,5/10/2020,1173,168,1327,139,1493,165,Canada
202043,CAN,5/11/2020,1173,124,1242,157,1361,142,Canada
202043,CAN,5/12/2020,1155,185,1196,146,1231,152,Canada
202043,CAN,5/13/2020,1149,125,1167,169,1180,150,Canada
202043,CAN,5/14/2020,1213,167,1177,145,1167,162,Canada
202043,CAN,5/15/2020,1178,87,1174,154,1180,145,Canada
202043,CAN,5/16/2020,1247,121,1184,138,1175,154,Canada
202043,CAN,5/17/2020,1126,103,1203,138,1186,138,Canada
202043,CAN,5/18/2020,1079,57,1205,123,1206,138,Canada
202043,CAN,5/19/2020,1082,68,1196,109,1209,123,Canada
202043,CAN,5/20/2020,1082,122,1168,89,1205,109,Canada
202043,CAN,5/21/2020,1167,117,1147,96,1177,89,Canada
202043,CAN,5/22/2020,1205,93,1125,94,1156,96,Canada
202043,CAN,5/23/2020,1204,106,1141,92,1133,94,Canada
202043,CAN,5/25/2020,1013,121,1172,103,1148,92,Canada
202043,CAN,5/26/2020,971,98,1133,103,1180,103,Canada
202043,CAN,5/27/2020,899,123,1091,99,1140,103,Canada
202043,CAN,5/28/2020,987,106,1018,104,1097,99,Canada
202043,CAN,5/29/2020,933,81,972,104,1021,104,Canada
202043,CAN,5/30/2020,772,96,962,106,976,104,Canada
202043,CAN,5/31/2020,798,215,913,101,964,106,Canada
202043,CAN,6/1/2020,809,30,874,123,915,101,Canada
202043,CAN,6/2/2020,671,72,855,105,875,123,Canada
202043,CAN,6/3/2020,682,103,792,98,855,105,Canada
202043,CAN,6/4/2020,628,138,738,102,789,98,Canada
202043,CAN,6/5/2020,678,61,708,110,738,102,Canada
202043,CAN,6/6/2020,528,72,680,79,705,110,Canada
202043,CAN,6/7/2020,703,27,618,86,679,79,Canada
202043,CAN,6/8/2020,601,33,631,78,614,86,Canada
202043,CAN,6/9/2020,462,60,617,64,627,78,Canada
202043,CAN,6/10/2020,479,68,581,49,615,64,Canada
202043,CAN,6/10/2020,479,68,535,50,579,49,Canada
202043,CAN,6/11/2020,439,33,535,50,532,50,Canada
202043,CAN,6/12/2020,436,54,514,42,532,50,Canada
202043,CAN,6/13/2020,448,58,460,47,510,42,Canada
202043,CAN,6/13/2020,448,58,432,52,456,47,Canada
202043,CAN,6/14/2020,361,35,432,52,425,52,Canada
202043,CAN,6/15/2020,359,10,411,47,425,51,Canada
202043,CAN,6/16/2020,324,43,389,36,406,46,Canada
202043,CAN,6/17/2020,404,41,370,38,384,35,Canada
202043,CAN,6/18/2020,386,49,358,35,368,38,Canada
202043,CAN,6/19/2020,437,47,350,34,353,35,Canada
202043,CAN,6/20/2020,448,58,368,36,346,34,Canada
202043,CAN,6/21/2020,316,16,389,46,365,37,Canada
202043,CAN,6/22/2020,340,12,364,36,386,46,Canada
202043,CAN,6/23/2020,349,18,364,33,361,35,Canada
202043,CAN,6/24/2020,320,32,364,34,360,33,Canada
202043,CAN,6/25/2020,376,23,365,33,363,34,Canada
202043,CAN,6/26/2020,166,4,365,31,364,33,Canada
202043,CAN,6/27/2020,249,5,337,25,364,31,Canada
