Country_name,population,Overall,Tot_affected
Singapore,5535000,87.4,33860
Ireland,6378000,84.0,24876
US,323947000,83.7,1746019
Switzerland,8341600,83.1,30828
Finland,5491817,82.9,6776
Norway,5223256,82.9,8422
Sweden,9894888,82.7,36476
Canada,36155487,82.4,90909
Netherlands,17019800,82.0,46328
Austria,8725931,81.7,16655
Germany,81770900,81.5,182922
Australia,24117360,81.4,7184
Qatar,2587564,81.2,52907
Denmark,5717014,81.0,11793
Belgium,11319511,80.7,58061
France,66710000,80.4,186923
United Kingdom,65110000,79.1,272607
Israel,8527400,79.0,16987
New Zealand,4697854,78.8,1504
Portugal,10374822,77.8,31946
Japan,126960000,76.5,16673
United Arab Emirates,9856000,76.5,33170
Italy,60665551,75.8,232248
Poland,38437239,75.6,23155
Chile,18191900,75.5,90638
Spain,46438422,75.5,238564
Kuwait,4183658,74.8,25184
Malaysia,31405416,73.8,7732
"Korea, South",50801405,73.6,11441
Saudi Arabia,32248200,73.5,81766
Greece,10858018,73.4,2909
Czechia,10558524,73.1,9196
Uruguay,3480222,72.8,816
Hungary,9823000,72.7,3841
China,1377422166,71.0,84123
Belarus,9498700,70.9,40764
Argentina,43590400,70.8,15419
Romania,19861408,70.2,18982
Brazil,206135893,70.1,465166
Costa Rica,4890379,70.1,1022
Turkey,78741053,69.8,162120
Russia,146599183,69.7,387623
Colombia,48759958,69.4,25406
Mexico,122273473,69.4,84627
Panama,3814672,68.8,12531
Oman,4420133,68.4,9820
Slovakia,5426252,68.3,1520
Kazakhstan,17753200,67.3,9932
South Africa,55653654,67.3,29240
Bahrain,1404900,66.6,10449
Bulgaria,7153784,66.2,2485
Thailand,65327652,65.1,3076
Azerbaijan,9730500,64.8,4989
Vietnam,92700000,64.6,328
Egypt,91290000,64.5,22082
Dominican Republic,10075045,64.2,16531
Botswana,2141206,63.8,35
Peru,31488700,63.3,141779
Ghana,27670174,62.8,7616
Morocco,33337529,62.8,7714
Serbia,7076372,62.8,11354
Indonesia,258705000,62.6,25216
Ecuador,16545799,61.8,38571
Jordan,9531712,61.0,730
Philippines,103279800,61.0,16634
Sri Lanka,20966000,60.8,1558
El Salvador,6520675,60.7,2278
Guatemala,16176133,60.6,4607
Tunisia,11154400,60.1,1071
Algeria,40400000,59.8,9134
Uzbekistan,31576400,59.0,3468
India,1295210000,58.9,173491
Honduras,8576532,58.0,4752
Paraguay,6854536,57.9,917
Bolivia,10985059,57.7,8731
Ukraine,42692393,57.1,22811
Burma,51419420,57.0,207
Pakistan,194125062,56.8,64028
Nepal,28431500,56.4,1212
Mali,18135000,54.4,1226
Senegal,14799859,54.3,3429
Nicaragua,6262703,54.2,759
Bangladesh,161006790,53.2,42844
Cote d'Ivoire,22671331,52.3,2750
Benin,10653654,51.0,224
Kenya,47251000,50.7,1745
Burkina Faso,19034397,50.1,847
Cameroon,22709892,49.9,5436
Niger,20715000,49.6,955
Cambodia,15626444,49.4,124
Ethiopia,92206005,49.2,968
Laos,6492400,49.1,19
Tajikistan,8593600,49.0,3686
Nigeria,186988000,48.4,9302
Rwanda,11553188,48.2,355
Tanzania,55155000,47.6,509
Guinea,12947000,46.7,3656
Uganda,33860700,46.2,329
Sudan,39598700,45.7,4521
Angola,25868000,45.5,81
Zambia,15933883,44.4,1057
Togo,7143000,44.0,428
Haiti,11078033,43.3,1584
Malawi,16832910,42.5,273
Mozambique,26423700,41.4,234
Sierra Leone,7075641,39.0,829
Syria,18564000,38.4,122
Madagascar,22434363,37.9,698
Chad,14497000,36.9,759
Congo (Kinshasa),85026000,35.7,2833
Yemen,27478000,35.6,283
Burundi,10114505,34.3,42
Venezuela,31028700,31.2,1370
